"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Daisy Meadow Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/ceef372bcb2f02fcdaf2f121554eac3781f69ac13061410144570933b5efb346.webp","AI Prompts","","Gemini AI couple photo prompt — a dreamy cottagecore embrace in a golden-hour wildflower meadow with a daisy-braided crown. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-daisy-meadow","","ai photo prompt, gemini prompt, couple prompt, aesthetic prompt, nature prompt"
"Wheat Field Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/a18eaa49ab51cf4d5002bcf64fd496be7a7e17defe9f1dec2d30d412b947d6b0.webp","AI Prompts","","Gemini AI couple photo prompt — a South Asian couple in a golden wheat field at sunset, the woman in a red embroidered anarkali. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-wheat-field","","ai photo prompt, gemini prompt, couple prompt, indian aesthetic prompt, nature prompt"
"Old Town Dance Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/7508ca6f9eceb283ac4ef030af00d6c259e3808c2dbb26b7e80e8f147eb4b99e.webp","AI Prompts","","Gemini AI couple photo prompt — a joyful golden-hour dance on a rain-wet cobblestone street with a glowing mosque behind. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-old-town-dance","","ai photo prompt, gemini prompt, couple prompt, cinematic prompt, travel prompt"
"Antique Door Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/4e840e55707bdfd8910d953b094afacd2f20306fc10338ae3538566ca63528f2.webp","AI Prompts","","Gemini AI couple photo prompt — a candid engagement portrait at an antique European doorway draped in bougainvillea, fingertips touching. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-antique-door","","ai photo prompt, gemini prompt, couple prompt, aesthetic prompt, editorial prompt"
"Double Exposure Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/5c543c270dbe71fd80e1dabebf94c1234bf5bb5ede16a2c205b7c3fd8b0f7a1d.webp","AI Prompts","","Gemini AI couple photo prompt — an editorial double-exposure portrait in formal black attire, foreheads touching with a ghosted overlay behind. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-double-exposure","","ai photo prompt, gemini prompt, couple prompt, editorial prompt, cinematic prompt"
"Tall Grass Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/afe9fbc4df2303eabf1e51eee9b3f12f2a169cce3aedcef3a6c81709837e6217.webp","AI Prompts","","Gemini AI couple photo prompt — a candid engagement shot lying face-to-face in tall golden grass, warm film tones and soft bokeh. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-tall-grass","","ai photo prompt, gemini prompt, couple prompt, aesthetic prompt, nature prompt"
"Saree Veil Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/dd4c115c868745fbd112b26153db434ef9a024eddb6d4c42fea3b272e6dc9b6d.webp","AI Prompts","","Gemini AI couple photo prompt — a painterly, intimate portrait with a billowing veil and dappled golden light, warm amber and terracotta tones. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-saree-veil","","ai photo prompt, gemini prompt, couple prompt, indian aesthetic prompt, cinematic prompt"
"Wildflower Meadow Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/7628039351ea3a439adc372e23ef4a31d266649bc89bd153821c2e74b3e59632.webp","AI Prompts","","Gemini AI couple photo prompt — a joyful golden-hour lift in a wild daisy-and-poppy meadow, her linen dress fluttering in the breeze. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-meadow-lift","","ai photo prompt, gemini prompt, couple prompt, aesthetic prompt, nature prompt"
"Park Bench Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/c775cf029f1e9afc2a151162681bdd48b1ee8dbbc730b258fc4d9c9b8482bdcb.webp","AI Prompts","","Gemini AI couple photo prompt — a vintage period-drama portrait on a lakeside park bench at golden hour, cottagecore linen and lace. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-park-bench","","ai photo prompt, gemini prompt, couple prompt, aesthetic prompt, editorial prompt"
"Sunset Hair Kiss Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/bdb6c9bd2651c583f6039a123442c8f331070daf112a37ce6d2e62e19a716a37.webp","AI Prompts","","Gemini AI couple photo prompt — a backlit sunset silhouette, him leaning in to kiss the top of her head as she smiles into the light, warm honey haze. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-beach-hair-kiss","","ai photo prompt, gemini prompt, couple prompt, aesthetic prompt, beach prompt"
"Beach Dip Kiss Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/05808e468ba490f95b6415d95b51889b78d758cba12633a8343e2ce56850544f.webp","AI Prompts","","Gemini AI couple photo prompt — a dramatic golden-hour dip kiss at the water's edge, white linen and a flowing dress, 35mm film grain and honey tones. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-beach-dip","","ai photo prompt, gemini prompt, couple prompt, aesthetic prompt, beach prompt"
"Overhead Grass Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/368d63237442cc7423eaf71183493218d7013105e50ecd1dbacfb530f54cfbe5.webp","AI Prompts","","Gemini AI couple photo prompt — a top-down flat-lay lying on green grass in a V shape, heads meeting near a red tulip and gingham bandana, warm film grade. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-overhead-grass","","ai photo prompt, gemini prompt, couple prompt, aesthetic prompt, flat lay prompt"
"Tennis Court Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/ea49aa84906acd5eac68d41d688c48db7f07018c72aa4ad4eb1a162f0cbda716.webp","AI Prompts","","Gemini AI couple photo prompt — a stylish athleisure-luxury sit on a tennis court, sunglasses, rackets and warm influencer-editorial grade. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-tennis-court","","ai photo prompt, gemini prompt, couple prompt, fashion prompt, editorial prompt"
"Mountain Piggyback Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/afa94522dfa8a51fe3c6da1ce44bcee624c579b47df4208e79b23ce329ed3b62.webp","AI Prompts","","Gemini AI couple photo prompt — a playful shoulder-sit in a grassy mountain valley, cream knit and cliff backdrop, muted earthy film tones. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-mountain-piggyback","","ai photo prompt, gemini prompt, couple prompt, aesthetic prompt, nature prompt"
"Vintage Truck Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/6d2530825f7b9b6723ec17fe98118dc246a2753595d1b16a3857de78e5069714.webp","AI Prompts","","Gemini AI couple photo prompt — a nostalgic Americana portrait leaning on a vintage pickup truck on a dusk gravel road, faded film grain and pastel sunset sky. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-vintage-truck","","ai photo prompt, gemini prompt, couple prompt, aesthetic prompt, vintage prompt"
"Vintage Editorial Couple Prompt – Gemini AI Photo","https://freepromptbase.com/cdn/cms/prompts/c870c41ae808cec6f98cbc0ae9c1e87f71484095d6f5fbbbe30298da33ed1c74.webp","AI Prompts","","Vintage editorial couple prompt for Gemini AI — a retro 1970s lounge on a Moroccan riad terrace, mosaic tiles, tinted sunglasses and sepia film grain. Copy, paste in Nano Banana & ChatGPT.","https://freepromptbase.com/vintage-editorial-couple-prompt","","ai photo prompt, gemini prompt, couple prompt, vintage prompt, editorial prompt"
"Romantic Couple Prompt – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/53b89d610cee34a87bce84aadaae951334c47f28000d1b12984cf8905a700e3d.webp","AI Prompts","","Romantic couple prompt for Gemini AI — a playful pool-table moment in a vintage speakeasy bar, white mini dress, rolled sleeves and warm tungsten film tones. Copy, paste in Nano Banana & ChatGPT.","https://freepromptbase.com/romantic-couple-prompt","","ai photo prompt, gemini prompt, couple prompt, vintage prompt, editorial prompt"
"Luxury Car Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/dd34f5ba924aa4995d932e18d3ee0bfcf31f1f5c353309cac78d696245386e10.webp","AI Prompts","","Gemini AI couple photo prompt — a moody dusk scene by a lake, black suit and backless gown draped over a luxury convertible, red taillights and cinematic film grain. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-luxury-car","","ai photo prompt, gemini prompt, couple prompt, cinematic prompt, fashion prompt"
"Yacht Deck Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/1d0814e32896f7c4bdf25d8572d438f5a1760f88d1cfa2d8b4c33132cc9a9bba.webp","AI Prompts","","Gemini AI couple photo prompt — a golden-hour editorial on a white sailing yacht, open linen shirt at the mast and a flowing halter dress on the bow. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-yacht-deck","","ai photo prompt, gemini prompt, couple prompt, editorial prompt, travel prompt"
"Vespa Street Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/ba0970a3125a382c9e04cbaa307fb067f0216ca824937c5d8b44867f8de48d2c.webp","AI Prompts","","Gemini AI couple photo prompt — a candid old-town European street moment on a cream vintage Vespa, yellow polka-dot romper and golden afternoon light. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-vespa-street","","ai photo prompt, gemini prompt, couple prompt, travel prompt, aesthetic prompt"
"Vintage Mirror Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/ad32f982c899fca0dcaa66a0e47b39db0b04990bfb4d0433bb8290d64d721b44.webp","AI Prompts","","Gemini AI couple photo prompt — she fixes an earring at an ornate vintage mirror in an ivory saree while he watches from the doorway, warm candlelit amber tones. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-vintage-mirror","","ai photo prompt, gemini prompt, couple prompt, indian aesthetic prompt, cinematic prompt"
"Rain Kiss Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/01ff7e0b94138b18abeaf990c843146dd5fe2e5e35b5023b3dcf7f9384d5b2f0.webp","AI Prompts","","Gemini AI couple photo prompt — a passionate kiss in golden-hour rain, one leg kicked up, red roses hidden behind his back and a vintage pink scooter. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-rain-kiss","","ai photo prompt, gemini prompt, couple prompt, cinematic prompt, aesthetic prompt"
"Saree Draping Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/408b948724a234de1b55ebcd3469fd349b3cb559984aa33c18f1d23cf72a6e4a.webp","AI Prompts","","Gemini AI couple photo prompt — a getting-ready moment as he helps drape her mustard-yellow silk saree, cream kurta, gold jhumkas and soft window light. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-saree-draping","","ai photo prompt, gemini prompt, couple prompt, indian aesthetic prompt, cinematic prompt"
"Jasmine Anklet Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/f3252440c9794e7bac3dd84fa778f3440de31da29d3011e94cd868a306de0e61.webp","AI Prompts","","Gemini AI couple photo prompt — he ties a jasmine strand around her ankle in a sunlit haveli archway, lavender saree and dreamy golden haze. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-jasmine-anklet","","ai photo prompt, gemini prompt, couple prompt, indian aesthetic prompt, aesthetic prompt"
"Haveli Door Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/11855d5c178e598362cf37fc6e1df359ba6c30d2f3480e43c5e6ddec4d3077fe.webp","AI Prompts","","Gemini AI couple photo prompt — he fastens her clasp before a weathered orange haveli door, beige saree, marigold garlands and terracotta film tones. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-haveli-door","","ai photo prompt, gemini prompt, couple prompt, indian aesthetic prompt, vintage prompt"
"Kulhad Chai Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/f476df568aeb257e0f3118cad1478d61dba26304e99e29ff77a51519586ab8eb.webp","AI Prompts","","Gemini AI couple photo prompt — a cozy night on heritage ghat steps sharing kulhad chai, warm fairy lights and analog film glow. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-kulhad-chai","","ai photo prompt, gemini prompt, couple prompt, indian aesthetic prompt, travel prompt"
"Ferris Wheel Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/2d69619d9d3c1ccde06d98361b4277cec5dab342c7df249898d62aebde342e7a.webp","AI Prompts","","Gemini AI couple photo prompt — a laughing dip pose at a dusk carnival, illuminated ferris wheel behind, film grain and golden-to-blue-hour light. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-ferris-wheel","","ai photo prompt, gemini prompt, couple prompt, aesthetic prompt, cinematic prompt"
"Sunflower Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/40611a3a55eeb0aa29f677c19b33dee17c371cb198118b26b69757bbaa04627d.webp","AI Prompts","","Gemini AI couple photo prompt — a backlit close-up with heads resting together, hands interlaced around a sunflower and a pink carnation, nostalgic film glow. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-sunflower","","ai photo prompt, gemini prompt, couple prompt, aesthetic prompt, nature prompt"
"Carousel Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/03cf8a73f8e6f80e591c49d393eed5aff0757d53a4c95d20ef4f0be403f78029.webp","AI Prompts","","Gemini AI couple photo prompt — he playfully snaps her on a film camera before a glowing vintage carousel at dusk, shy laugh, golden-hour film grade. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-carousel","","ai photo prompt, gemini prompt, couple prompt, aesthetic prompt, vintage prompt"
"Clear Umbrella Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/e3709df575e871447d5418d75a5e3a5e687fa0cff23ca6b38e8cb81c359c4255.webp","AI Prompts","","Gemini AI couple photo prompt — laughing close under one clear umbrella in gentle garden rain, pastel outfits and soft cinematic bokeh. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-clear-umbrella","","ai photo prompt, gemini prompt, couple prompt, aesthetic prompt, cinematic prompt"
"B&W Women Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/463238fd490cc2a5b13a501042aafef3028a83a820e2c97921285d801a041795.webp","AI Prompts","","Black and white Gemini AI photo prompt — an editorial portrait of a woman in a sheer mesh turtleneck against a split black-and-white backdrop, shot on medium-format film. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/black-and-white-women-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, women portrait prompt, editorial prompt"
"Red Saree Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/b0cd6bc8971c05b21e294bd7abd744454488e731ea896e89aaefb7ff9b64b28c.webp","AI Prompts","","Gemini AI couple photo prompt — a tender pre-wedding portrait against a vine-draped stone wall, red silk saree with gold zari, jhumkas and warm golden-hour light. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-red-saree","","ai photo prompt, gemini prompt, couple prompt, indian aesthetic prompt, wedding prompt"
"Colonnade Fashion Portrait – Gemini AI Prompt","https://freepromptbase.com/cdn/cms/prompts/26ffd96ec6010b16dff6fb49a8a88cf8cb98a38c487a01a11c7119e32d49d48c.webp","AI Prompts","","Editorial fashion Gemini AI photo prompt — a confident mid-stride walk through a sunlit stone colonnade, brown camp-collar shirt, cream pleated trousers and long diagonal shadows. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/colonnade-fashion-portrait-prompt","","ai photo prompt, gemini prompt, fashion prompt, men portrait prompt, editorial prompt"
"Golden Hour Blazer Portrait – Gemini AI Prompt","https://freepromptbase.com/cdn/cms/prompts/078443ad6a4a1ff0b9fb3c9b9cf3f40b79ba8cf115dad3b4b78fde610986f505.webp","AI Prompts","","Cinematic Gemini AI photo prompt — a golden-hour portrait in a brown blazer and black wayfarers, warm rim light and a teal-and-amber sunset sky. Copy, paste your photo in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/golden-hour-blazer-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, cinematic prompt"
"B&W Glasses Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/99b6287cf95eef97b368d689d025930f67e2998e582c24b9b77059b37aaf7262.webp","AI Prompts","","Low-key black and white portrait prompt — round wire glasses, a fist resting at the jaw and a single soft key light against a pure black studio backdrop. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/black-and-white-glasses-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, cinematic prompt"
"Cliff Selfie Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/8738ec8c57c03dcbe388314986f5e1590fb554bf82f1555bd4e7aa30c74637d6.webp","AI Prompts","","Gemini AI couple photo prompt — a wide-angle travel selfie at a Bali-style clifftop viewpoint, turquoise ocean and sea stacks below, matching all-white linen outfits. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-cliff-selfie","","ai photo prompt, gemini prompt, couple prompt, travel prompt, aesthetic prompt"
"Kiss Marks Couple Selfie – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/4a4772a9b77e392aa459fc1a377e0736270a3c07acee5691c606e2ffa9788d34.webp","AI Prompts","","Playful Gemini AI couple photo prompt — a night selfie where lipstick kiss marks cover his cheek while she cups his chin, soft warm bedroom light. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-kiss-marks","","ai photo prompt, gemini prompt, couple prompt, selfie prompt, aesthetic prompt"
"Sunflower Bouquet Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/b229c04d8c598af20560498935f1054fbd5fce81de20e761ceb067748be2fdb2.webp","AI Prompts","","Gemini AI photo prompt for women — seated on a cobblestone European street with a kraft-paper sunflower bouquet, green knit sweater and a soft smile. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/sunflower-bouquet-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, women portrait prompt, aesthetic prompt"
"Red Shirt Baroque Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/8edaa206566d3239d8831fb298b764b4c6ce07c2e9c6469ad776cedbbf5de033.webp","AI Prompts","","Moody Gemini AI photo prompt for men — seated in a carved black baroque armchair in a red button-up, gold chain and rolled sleeves, editorial light. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/red-shirt-baroque-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, editorial prompt"
"Garden Staircase Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/82a04aaa532d7c4d48e15830723c83c223561b54718f39e5edbd05c26d6f533e.webp","AI Prompts","","Fresh Gemini AI photo prompt for men — standing on a garden staircase among red roses, one hand adjusting sunglasses, relaxed daylight styling. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/garden-staircase-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, outdoor prompt"
"Duotone Wall Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/4e419641fd966680d17eac7607163e701efb0bf6d0cd2e4585aeacab3991b243.webp","AI Prompts","","Creative Gemini AI photo prompt for women — laughing on a wooden floor while a giant black-and-white duotone of the same pose fills the wall behind. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/duotone-wall-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, women portrait prompt, creative prompt"
"Black Blazer Studio Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/b6d33f20c48e488ef9a11485a6a0bbc94f40f165af146cf33ba3b199b9d3e399.webp","AI Prompts","","Clean Gemini AI photo prompt for men — a professional studio portrait in an open black blazer and white shirt, warm genuine smile, soft key light. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/black-blazer-studio-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, studio prompt"
"Seaside Cliff Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/81dc5da2be47306c4d3d1024b1786aaac143a8546ae5ea0abdb6b83bdfc2c48b.webp","AI Prompts","","Golden-hour Gemini AI couple photo prompt — standing close on a rocky seaside cliff at sunset, her hand on his chest, both smiling mid-laugh. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-seaside-cliff","","ai photo prompt, gemini prompt, couple prompt, golden hour prompt, travel prompt"
"Black Suit Bouquet Portrait – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/229aef6a0a65793afc223fbd896f9fb3655bf14ff8c7a84f074e1e93a9dfa976.webp","AI Prompts","","Sharp Gemini AI photo prompt for men — leaning on a black sedan in a three-piece suit, phone in hand and a bouquet at his hip, garage lighting. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/black-suit-bouquet-portrait-prompt","","ai photo prompt, gemini prompt, portrait prompt, men portrait prompt, cinematic prompt"
"Double Exposure Beach Couple – Gemini AI Photo Prompt","https://freepromptbase.com/cdn/cms/prompts/c6e70e9215752b575b09be6008079f973f16f8894b008ae2d618da5ccfff5e56.webp","AI Prompts","","Artistic Gemini AI couple photo prompt — a forehead-to-forehead close-up that fades, double-exposure style, into the same couple on a golden-hour beach. Copy, paste in Nano Banana (Gemini) & ChatGPT.","https://freepromptbase.com/couple-prompt-double-exposure-beach","","ai photo prompt, gemini prompt, couple prompt, double exposure prompt, creative prompt"
"Gemini AI Anime Chibi Mural Photo Editing Prompt for Boys","https://freepromptbase.com/cdn/prompts/chibi-cartoon-mural-identity-2.webp","AI Prompts","","Recreate a colorful outdoor fashion portrait with exact face identity, a locked full-body pose, and a matching anime chibi mural.","https://freepromptbase.com/anime-chibi-mural-photo-editing-prompt","","anime chibi, mural, photo editing, identity preservation, boys, gemini ai, chatgpt image"
"Gemini AI Couple Elevator Mirror Selfie Editing Prompt","https://freepromptbase.com/cdn/cms/prompts/51effaf65453e4bffef9127d0c309765a6919cfc97e077aa284cd25e0d97b219.webp","AI Prompts","","Create a luxury elevator couple mirror selfie while preserving both uploaded facial identities, natural expressions, skin texture, and authentic details.","https://freepromptbase.com/gemini-ai-couple-elevator-mirror-selfie-editing-prompt","","gemini ai photo prompt, couple prompt, mirror selfie, photo editing, elevator selfie, luxury portrait, identity preservation"
